x,y
505,183
504,181
503,180
500,182
500,181
498,184
499,183
497,181
498,178
497,178
496,182
495,183
494,181
494,179
493,179
492,180
492,182
492,182
492,182
491,181
492,180
492,180
493,182
493,183
495,185
496,185
498,191
498,196
498,203
497,211
498,210
495,220
493,230
491,240
486,253
480,266
464,287
455,292
448,295
442,297
436,294
432,291
432,291
428,284
427,277
427,270
427,264
426,258
426,249
425,247
424,247
422,249
422,250
423,252
424,253
424,253
425,253
425,254
426,255
426,255
426,256
426,256
426,255
427,255
427,255
426,256
426,257
426,257
426,257
426,257
426,258
426,258
427,260
427,259
428,260
428,260
429,260
429,261
430,261
430,260
